Cat�gorie;Article;D�signation 1;Unit� stock;Unit� vente;Coef UV-US;Saisie coeff vente;Unit� achat;Coef UA-US;Conditionnement;Coef UC-US;Saisie coeff autoris;Code comptable;Niveau taxe;Famille statistique;Famille statistique;Famille statistique;Gestion stock;Fournisseur;Article fournisseur;D�signation fourn
PDR;PDR00099;BAGUE SYNCHRONISATION ;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00252;0769.174.091;BAGUE SYNCHRONISATION 
PDR;PDR00100;CORPS D EMBR;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00252;1296.33.050;CORPS D EMBR
PDR;PDR00102;JOINT CACHE SUPPAPRE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;;
PDR;PDR00103;CHANGEMENT MECANISME COMPLET KIENZEL TYPE 1324;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00189;0;CHANGEMENT MECANISME COMPLET KIENZEL TYPE 1324
PDR;PDR00104;MEMELON 1/2 CUIVRE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00195;PLM00184;PNEU 315/80R22.5 156/15L RUNNER F2
PDR;PDR00105;POMPE A HUILE PNEUMATIQUE 200L;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00195;OUTI00025;POMPE A HUILE PNEUMATIQUE 200L
PDR;PDR00106;POMPE A GRAISSE PNEUMATIQUE 200KG;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00195;LEVA0061;POMPE A GRAISSE PNEUMATIQUE 200KG
PDR;PDR00107;REDUCTEUR PRESSION MANO+ROBINET 1/4 F;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;PDR;REDUCTEUR PRESSION MANO+ROBINET 1/4 F
PDR;PDR00108;PRISE RAPIDE AIR POUR RACORD 1/4;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;PDR00108;PRISE RAPIDE AIR POUR RACORD 1/4
PDR;PDR00109;RESSORT AR MAN TGA 8X4/6X4;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;0303ARP00;RESSORT AR MAN TGA 8X4/6X4
PDR;PDR00110;LAME 1 AR PARABOLIQUE MAN TGA AVEC SILENT BLOC;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;0304ARP01PAC;LAME 1 AR PARABOLIQUE MAN TGA AVEC SILENT BLOC
PDR;PDR00111;LAME 2 AR PARABOLIQUE MAN TGA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;0304ARP02P;LAME 2 AR PARABOLIQUE MAN TGA
PDR;PDR00112;LAME 1 AR REMORQUE FALCON BENNES;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;2211ARP01;LAME 1 AR REMORQUE FALCON BENNES
PDR;PDR00113;BOULON M14*200T(22X12)F110;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;ET1286_MY;LAME 1 AR REMORQUE FALCON BENNES
PDR;PDR00114;LEVIER DE CAME AR MAN TGS DROITE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;03LEV001_WO;LEVIER DE CAME AR MAN TGS DROITE
PDR;PDR00115;LEVIER DE CAME AR MAN TGS GOUCHE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;03LEV002_WO;LEVIER DE CAME AR MAN TGS GOUCHE
PDR;PDR00116;BOULON M16*230 T(28X14)F120;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;ET417;BOULON M16*230 T(28X14)F120
PDR;PDR00117;TOLE RELIA 2000X1000X12MM;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0103;;2;FRL00140;PDR001171;TOLE CREUSABRO -4800 2000X1000X12MM
PDR;PDR00118;CORNIERE 30X30X3  6 M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00121;PDR001181;CORNIERE 30X30X3   6M
PDR;PDR00119;FER PLAT 20 X 3 X 6 M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00121;PDR001191;FER PLAT 20X3 6M
PDR;PDR00119;FER PLAT 20 X 3 X 6 M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00186;PDR0003;FER PLAT 20X3 6M
PDR;PDR00119;FER PLAT 20 X 3 X 6 M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00267;PDR001193;FER PLAT 20X3 6M
PDR;PDR00120;TOLE NERVESCO PRÉLAQUÉE EP 0.50MM 7M;UN;;0;1;M;7;;0;0;PDRN;A146;PDR01;P0103;;2;FRL00121;PDR001201;TOLE NERVESCO PRÉLAQUÉE EP 0.50MM 7M
PDR;PDR00120;TOLE NERVESCO PRÉLAQUÉE EP 0.50MM 7M;UN;;0;1;M;7;;0;0;PDRN;A146;PDR01;P0103;;2;FRL00191;PDR001201;TOLE NERVESCO PRÉLAQUÉE EP 0.50MM 7M
PDR;PDR00121;ACID 60 °C;L;;0;1;L;1;;0;0;PDRN;A146;PDR05;P0503;;2;FRL00033;PDR001211;ACID 60 °C
PDR;PDR00122;JUPITER 1L;L;;0;1;L;1;;0;0;PDRN;A146;PDR05;P0503;;2;FRL00033;PDR001221;JUPITER 1l
PDR;PDR00122;JUPITER 1L;L;;0;1;L;1;;0;0;PDRN;A146;PDR05;P0503;;2;FRL00054;;JUPITER 1l
PDR;PDR00122;JUPITER 1L;L;;0;1;L;1;;0;0;PDRN;A146;PDR05;P0503;;2;FRL00227;PDR00122;JUPITER 1L
PDR;PDR00123;HUILE HM68 208L;BR;;0;1;BR;1;;0;0;CONS;A146;PDR05;P0502;;2;FRL00146;PDR0007;HUILE HM68 208L
PDR;PDR00123;HUILE HM68 208L;BR;;0;1;BR;1;;0;0;CONS;A146;PDR05;P0502;;2;SOSMC;PDR0007;HUILE HM68 208L
PDR;PDR00124;HUILE HM46 208L;BR;;0;1;BR;1;;0;0;CONS;A146;PDR05;P0502;;2;FRL00146;PDR00124;HUILE HM46
PDR;PDR00124;HUILE HM46 208L;BR;;0;1;BR;1;;0;0;CONS;A146;PDR05;P0502;;2;SOSMC;PDR0008;HUILE HYDRAULIQUE HM46
PDR;PDR00125;OXYGENE TECHNIQUE BOUTEILLE 40 KG;UN;;0;1;M3;10;;0;0;PDRN;A146;PDR01;P0101;;2;FRL00148;PDR001251;OXYGENE TECHNIQUE
PDR;PDR00127;PLAQUETTE FREIN AR GDB1699;UN;;0;1;UN;1;;0;0;PDR;A146;PDR06;P0601;;2;FRL00054;GDB1699;PLAQUETTE FREIN AR GDB1699
PDR;PDR00128;CHEVILLE MÉTALLIQUE 10X80;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR09;P0901;;2;FRL00033;PDR001281;CHEVILLE MÉTALLIQUE 10X80
PDR;PDR00129;CABLE SOUPLE 3X1.5 MM2;M;;0;1;M;1;;0;0;PDRN;A146;PDR03;P0301;;2;FRL00033;PDR001291;CABLE SOUPLE 3X1.5MM2
PDR;PDR00130;ROULEAU DE PEINTURE GM;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR07;P0701;;2;FRL00033;PDR001301;ROULEAU DE PEINTURE GM
PDR;PDR00130;ROULEAU DE PEINTURE GM;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR07;P0701;;2;FRL00060;PDR0014;ROULEAU DE PEINTURE GM
PDR;PDR00131;BROSSE CANTONNIER 50 CM;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR02;P0202;;2;FRL00033;PDR001311;BROSSE CANTONNIER 50 CM
PDR;PDR00132;LANCE DE NETTOYAGE DN 18MM;UN;;0;1;UN;1;;0;0;PDR;A146;PDR02;P0202;P3009;2;FRL00007;PDR001321;LANCE DE NETTOYAGE DN 18MM
PDR;PDR00132;LANCE DE NETTOYAGE DN 18MM;UN;;0;1;UN;1;;0;0;PDR;A146;PDR02;P0202;P3009;2;FRL00344;PDR0016;LANCE DE NETTOYAGE DN 18MM
PDR;PDR00133;TUBE CARRE 40X40X3 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00121;PDR001331;TUBE CARRE 40X40X3 6M
PDR;PDR00133;TUBE CARRE 40X40X3 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00186;PDR0017;TUBE CARRE 40X40X3 6M
PDR;PDR00133;TUBE CARRE 40X40X3 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00267;PDR001333;TUBE CARRE 40X40X3 6M
PDR;PDR00134;CORNIERE 50X50X5 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00121;PDR001341;CORNIERE 50X50X5 6M
PDR;PDR00134;CORNIERE 50X50X5 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00186;PDR0018;CORNIÈRE 50X50X5 6M
PDR;PDR00134;CORNIERE 50X50X5 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00267;PDR001343;CORNIÈRE 50X50X5 6M
PDR;PDR00135;CORNIERE 40X40x4 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00121;PDR001351;CORNIERE 40X40x4 6m
PDR;PDR00135;CORNIERE 40X40x4 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00186;PDR0019;CORNIÈRE 40X40X4 6M
PDR;PDR00135;CORNIERE 40X40x4 6M;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR01;P0104;;2;FRL00267;PDR001353;CORNIÈRE 40X40X4 6M
PDR;PDR00136;TIGE FILETEE NOIR DIAM 27;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR09;P0902;;2;FRL00121;PDR001361;TIGE FILETEE NOIR DIAM 27
PDR;PDR00136;TIGE FILETEE NOIR DIAM 27;UN;;0;1;UN;1;;0;0;PDRN;A146;PDR09;P0902;;2;FRL00186;PDR0020;TIGE FILETEE NOIR DIAM 27
